Dataset,Set,Approach,Metric,Value,Method,File,Specs
AISHELL-4,,Baseline,Coverage,0.94772,,L_R003S01C02,xvec_ahc
AISHELL-4,,Baseline,DER,0.82907,,L_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.94458,,L_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.36977,,L_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.99227,,L_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.82699,,M_R003S05C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.92602,,M_R003S05C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.53823,,M_R003S05C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.99784,,M_R003S05C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.82059,,L_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.94695,,L_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.52022,,L_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.9567,,L_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.60082,,S_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.90168,,S_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.49046,,S_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.99507,,S_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.81945,,L_R004S02C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.94937,,L_R004S02C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.35654,,L_R004S02C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.99973,,L_R004S02C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.63109,,S_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.90444,,S_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.52318,,S_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.9558,,S_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.92296,,M_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.94991,,M_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.3673,,M_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.98686,,M_R003S01C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.67528,,S_R004S02C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.91602,,S_R004S02C01,xvec_ahc
