Dataset,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,2.1,Baseline,DER,0.54499,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Baseline,JER,0.61335,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Baseline,Purity,0.63398,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Baseline,Coverage,0.7892,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Baseline,DER,0.18835,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Baseline,JER,0.27607,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Baseline,Purity,0.92343,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Baseline,Coverage,0.97291,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Baseline,DER,0.28243,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Baseline,JER,0.35644,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Baseline,Purity,0.81727,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Baseline,Coverage,0.81727,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Baseline,DER,0.10101,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Baseline,JER,0.11235,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Baseline,Purity,0.9962,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Baseline,Coverage,0.9962,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Baseline,DER,0.40489,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Baseline,JER,0.55416,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Baseline,Purity,0.70383,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Baseline,Coverage,0.71414,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Baseline,DER,0.30688,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Baseline,JER,0.5436,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Baseline,Purity,0.75059,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Baseline,Coverage,0.77161,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Baseline,DER,0.48311,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Baseline,JER,0.52125,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Baseline,Purity,0.65256,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Baseline,Coverage,0.82469,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Baseline,DER,0.22774,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Baseline,JER,0.3477,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Baseline,Purity,0.88855,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Baseline,Coverage,0.88855,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Baseline,DER,0.22418,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Baseline,JER,0.32247,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Baseline,Purity,0.87493,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Baseline,Coverage,0.87493,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Baseline,DER,0.33503,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Baseline,JER,0.57559,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Baseline,Purity,0.75423,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Baseline,Coverage,0.76862,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Baseline,DER,0.29029,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Baseline,JER,0.44235,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Baseline,Purity,0.82116,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Baseline,Coverage,0.95615,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Baseline,DER,0.2985,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Baseline,JER,0.32487,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Baseline,Purity,0.8558,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Baseline,Coverage,0.85348,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Baseline,DER,0.14677,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Baseline,JER,0.19623,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Baseline,Purity,0.96518,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Baseline,Coverage,0.96518,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Baseline,DER,0.23027,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Baseline,JER,0.26014,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Baseline,Purity,0.90766,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Baseline,Coverage,0.90766,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Baseline,DER,0.12853,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Baseline,JER,0.14012,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Baseline,Purity,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Baseline,Coverage,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Baseline,DER,0.39102,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Baseline,JER,0.47688,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Baseline,Purity,0.7728,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Baseline,Coverage,0.9174,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Baseline,DER,0.39944,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Baseline,JER,0.47853,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Baseline,Purity,0.73278,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Baseline,Coverage,0.91741,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Baseline,DER,0.41149,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Baseline,JER,0.59376,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Baseline,Purity,0.65851,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Baseline,Coverage,0.80167,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Baseline,DER,0.17257,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Baseline,JER,0.20507,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Baseline,Purity,0.96867,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.96586,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Baseline,DER,0.33194,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Baseline,JER,0.44544,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Baseline,Purity,0.80413,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Baseline,Coverage,0.79425,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Baseline,DER,0.46313,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Baseline,JER,0.47601,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Baseline,Purity,0.72702,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Baseline,Coverage,0.72702,WhisperX,M_R003S04C01
