Dataset,Set,Approach,Metric,Value,Method,File
VoxConverse,,Baseline,Purity,0.32331,,qeejz
VoxConverse,,Baseline,Coverage,0.41285,,qeejz
VoxConverse,,Baseline,DER,0.85094,,laoyl
VoxConverse,,Baseline,JER,0.7793,,laoyl
VoxConverse,,Baseline,Purity,0.82909,,laoyl
VoxConverse,,Baseline,Coverage,0.22301,,laoyl
VoxConverse,,Baseline,DER,0.82598,,iacod
VoxConverse,,Baseline,JER,0.68492,,iacod
VoxConverse,,Baseline,Purity,0.55493,,iacod
VoxConverse,,Baseline,Coverage,0.42306,,iacod
VoxConverse,,Baseline,DER,0.57652,,jgiyq
VoxConverse,,Baseline,JER,0.68205,,jgiyq
VoxConverse,,Baseline,Purity,0.86952,,jgiyq
VoxConverse,,Baseline,Coverage,0.53887,,jgiyq
VoxConverse,,Baseline,DER,1.15116,,qlrry
VoxConverse,,Baseline,JER,0.89034,,qlrry
VoxConverse,,Baseline,Purity,0.85957,,qlrry
VoxConverse,,Baseline,Coverage,0.27154,,qlrry
VoxConverse,,Baseline,DER,0.7914,,eqsta
VoxConverse,,Baseline,JER,0.93719,,eqsta
VoxConverse,,Baseline,Purity,0.58105,,eqsta
VoxConverse,,Baseline,Coverage,0.31921,,eqsta
VoxConverse,,Baseline,DER,0.68711,,gukoa
VoxConverse,,Baseline,JER,0.80452,,gukoa
VoxConverse,,Baseline,Purity,0.68486,,gukoa
VoxConverse,,Baseline,Coverage,0.41223,,gukoa
VoxConverse,,Baseline,DER,0.9773,,tiido
VoxConverse,,Baseline,JER,0.78964,,tiido
VoxConverse,,Baseline,Purity,0.65711,,tiido
VoxConverse,,Baseline,Coverage,0.22743,,tiido
VoxConverse,,Baseline,DER,0.78999,,ifwki
VoxConverse,,Baseline,JER,0.67879,,ifwki
VoxConverse,,Baseline,Purity,0.89243,,ifwki
VoxConverse,,Baseline,Coverage,0.28607,,ifwki
VoxConverse,,Baseline,DER,1.28877,,ppexo
VoxConverse,,Baseline,JER,0.72884,,ppexo
VoxConverse,,Baseline,Purity,1.0,,ppexo
VoxConverse,,Baseline,Coverage,0.27857,,ppexo
VoxConverse,,Baseline,DER,0.79507,,fowhl
VoxConverse,,Baseline,JER,0.86309,,fowhl
VoxConverse,,Baseline,Purity,0.73463,,fowhl
VoxConverse,,Baseline,Coverage,0.2961,,fowhl
VoxConverse,,Baseline,DER,0.67075,,ledhe
VoxConverse,,Baseline,JER,0.70165,,ledhe
VoxConverse,,Baseline,Purity,0.84002,,ledhe
VoxConverse,,Baseline,Coverage,0.36829,,ledhe
VoxConverse,,Baseline,DER,0.79559,,poucc
VoxConverse,,Baseline,JER,0.80623,,poucc
VoxConverse,,Baseline,Purity,0.62564,,poucc
VoxConverse,,Baseline,Coverage,0.29975,,poucc
VoxConverse,,Baseline,DER,0.83846,,ltgmz
VoxConverse,,Baseline,JER,0.59971,,ltgmz
VoxConverse,,Baseline,Purity,0.89809,,ltgmz
VoxConverse,,Baseline,Coverage,0.41634,,ltgmz
VoxConverse,,Baseline,DER,0.81255,,ikhje
VoxConverse,,Baseline,JER,0.8867,,ikhje
VoxConverse,,Baseline,Purity,0.65582,,ikhje
