Data Set,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,2.1,Baseline,Coverage,0.87176,PyAnnote,M_R003S01C01
AISHELL-4,,2.1,Baseline,DER,0.05477,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Baseline,JER,0.09082,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Baseline,Purity,0.97338,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Baseline,Coverage,0.9723,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Baseline,DER,0.13033,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Baseline,JER,0.1313,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Baseline,Purity,0.93039,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Baseline,Coverage,0.92459,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Baseline,DER,0.06255,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Baseline,JER,0.06652,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Baseline,Purity,0.98132,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Baseline,Coverage,0.98066,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Baseline,DER,0.2987,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Baseline,JER,0.38786,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Baseline,Purity,0.76233,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Baseline,Coverage,0.90416,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Baseline,DER,0.30113,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Baseline,JER,0.34946,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Baseline,Purity,0.73755,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Baseline,Coverage,0.92374,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Baseline,DER,0.29583,PyAnnote,S_R003S04C01
AISHELL-4,,2.1,Baseline,JER,0.43856,PyAnnote,S_R003S04C01
AISHELL-4,,2.1,Baseline,Purity,0.65681,PyAnnote,S_R003S04C01
AISHELL-4,,2.1,Baseline,Coverage,0.77747,PyAnnote,S_R003S04C01
AISHELL-4,,3.1,Baseline,DER,0.05881,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Baseline,JER,0.07716,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Baseline,Purity,0.97385,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Baseline,Coverage,0.97385,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Baseline,DER,0.17393,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Baseline,JER,0.19234,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Baseline,Purity,0.78744,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Baseline,Coverage,0.75789,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Baseline,DER,0.199,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Baseline,JER,0.24313,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Baseline,Purity,0.78815,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Baseline,Coverage,0.77656,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Baseline,DER,0.09754,PyAnnote,L_R004S06C01
AISHELL-4,,3.1,Baseline,JER,0.1985,PyAnnote,L_R004S06C01
AISHELL-4,,3.1,Baseline,Purity,0.93142,PyAnnote,L_R004S06C01
