D,Spk,OS,SNR,DER
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(29.0 - 35.0],15.281
(2.033 - 5.318],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],20.336
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],7.52
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],8.613
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(16.0 - 20.0],16.56
(2.033 - 5.318],(2 - 3],(1.0 - 2.0],(20.0 - 24.8],19.673
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],6.718
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],7.331
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],11.047
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],4.192
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(7.0 - 10.0],12.005
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],5.878
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.317
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],8.381
(18.792 - 30.494],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],4.981
(5.318 - 18.792],(10 - 41],(1.0 - 2.0],(16.0 - 20.0],8.408
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],18.86
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],4.467
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],11.459
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],12.872
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],10.284
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(7.0 - 10.0],37.935
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(29.0 - 35.0],12.904
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],10.419
(18.792 - 30.494],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],9.789
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],6.502
(5.318 - 18.792],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],45.257
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],5.329
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],11.671
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(29.0 - 35.0],5.555
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(13.0 - 16.0],33.23
(18.792 - 30.494],[1 - 2],(1.0 - 2.0],(35.0 - 59.0],6.223
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],1.117
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],8.392
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],9.551
(2.033 - 5.318],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],15.963
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],20.29
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],15.336
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.542
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],5.953
(2.033 - 5.318],(4 - 5],[0.0 - 1.0],(24.8 - 29.0],4.901
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.577
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],8.9
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],7.082
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],9.55
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],14.899
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(20.0 - 24.8],28.08
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],10.519
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],8.405
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],6.905
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],6.669
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(7.0 - 10.0],15.369
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(16.0 - 20.0],35.65
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],36.584
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],17.084
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],9.186
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],23.861
(18.792 - 30.494],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],39.638
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],13.287
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],12.784
(34.87 - 95.677],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],24.465
(30.494 - 34.87],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],46.949
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],8.285
(30.494 - 34.87],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],44.418
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],10.832
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],6.194
(30.494 - 34.87],(3 - 4],(9.0 - 14.0],(16.0 - 20.0],21.158
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],5.529
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],12.273
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(13.0 - 16.0],45.53
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(16.0 - 20.0],7.924
(30.494 - 34.87],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],23.655
(30.494 - 34.87],(3 - 4],(1.0 - 2.0],(16.0 - 20.0],36.844
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],19.867
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],56.779
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],57.173
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],50.918
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],228.211
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],27.398
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],127.677
