D,Spk,OS,SNR,Coverage
(0.884 - 1.466],[1 - 2],(13.0 - 63.0],(25.0 - 29.0],29.063
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(13.0 - 17.0],42.056
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],39.025
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],28.633
(1.466 - 3.204],(4 - 5],(2.0 - 3.0],(29.0 - 36.0],30.069
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(21.0 - 25.0],42.075
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],17.117
(11.811 - 20.001],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],28.374
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],24.975
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],22.552
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],45.279
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],32.071
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],17.026
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],20.832
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(17.0 - 21.0],42.696
(11.811 - 20.001],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],48.659
(3.204 - 11.811],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],28.355
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(29.0 - 36.0],29.61
(3.204 - 11.811],(3 - 4],(2.0 - 3.0],(17.0 - 21.0],34.525
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],25.222
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(21.0 - 25.0],30.008
(11.811 - 20.001],(7 - 10],(5.0 - 8.0],(25.0 - 29.0],35.359
(3.204 - 11.811],(10 - 41],(2.0 - 3.0],(25.0 - 29.0],36.051
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],43.266
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(21.0 - 25.0],27.965
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(25.0 - 29.0],25.79
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(29.0 - 36.0],33.207
(1.466 - 3.204],(7 - 10],(5.0 - 8.0],(29.0 - 36.0],45.681
(3.204 - 11.811],(5 - 7],(2.0 - 3.0],(25.0 - 29.0],29.451
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(21.0 - 25.0],34.089
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(17.0 - 21.0],28.62
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],23.125
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],25.003
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],33.927
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(25.0 - 29.0],43.628
(3.204 - 11.811],[1 - 2],(2.0 - 3.0],(8.0 - 10.0],22.301
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],26.534
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],36.636
(3.204 - 11.811],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],33.874
(11.811 - 20.001],(5 - 7],(5.0 - 8.0],(25.0 - 29.0],36.47
(3.204 - 11.811],(10 - 41],(1.0 - 2.0],(17.0 - 21.0],46.122
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],41.398
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],41.634
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],35.997
(11.811 - 20.001],(10 - 41],(2.0 - 3.0],(25.0 - 29.0],45.027
(3.204 - 11.811],(5 - 7],(2.0 - 3.0],(8.0 - 10.0],32.222
(3.204 - 11.811],[1 - 2],(1.0 - 2.0],(29.0 - 36.0],23.268
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],44.234
(11.811 - 20.001],[1 - 2],(2.0 - 3.0],(29.0 - 36.0],25.213
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],27.335
(3.204 - 11.811],(7 - 10],(8.0 - 13.0],(8.0 - 10.0],30.7
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],36.229
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],41.453
