D,Spk,OS,SNR,DER
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],31.568
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(35.0 - 59.0],17.45
(5.318 - 18.792],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],36.705
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],5.782
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(24.8 - 29.0],28.342
(5.318 - 18.792],(7 - 10],(5.0 - 9.0],(24.8 - 29.0],22.604
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],19.907
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],12.038
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(20.0 - 24.8],26.107
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],17.737
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(29.0 - 35.0],24.509
(2.033 - 5.318],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],37.117
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],10.179
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],10.089
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(16.0 - 20.0],25.618
(2.033 - 5.318],(2 - 3],(1.0 - 2.0],(20.0 - 24.8],26.067
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],12.261
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],9.809
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],5.332
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],5.322
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(7.0 - 10.0],11.869
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],19.075
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],6.826
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],9.41
(18.792 - 30.494],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],9.678
(5.318 - 18.792],(10 - 41],(1.0 - 2.0],(16.0 - 20.0],10.138
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],19.01
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],5.654
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],25.623
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],15.876
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],11.814
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(7.0 - 10.0],64.11
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(29.0 - 35.0],8.98
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],12.322
(18.792 - 30.494],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],13.862
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],23.968
(5.318 - 18.792],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],55.205
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],7.363
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],27.893
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(29.0 - 35.0],10.13
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(13.0 - 16.0],39.14
(18.792 - 30.494],[1 - 2],(1.0 - 2.0],(35.0 - 59.0],9.914
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],1.421
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],15.048
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],6.218
(2.033 - 5.318],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],32.177
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],26.409
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],25.117
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],16.192
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.223
(2.033 - 5.318],(4 - 5],[0.0 - 1.0],(24.8 - 29.0],28.348
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.411
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],16.237
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],8.332
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],12.493
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],17.475
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(20.0 - 24.8],35.577
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],15.552
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],4.373
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],9.429
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],10.973
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(7.0 - 10.0],25.18
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(16.0 - 20.0],32.568
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],75.274
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],60.68
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],23.352
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],89.391
(18.792 - 30.494],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],81.033
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],35.914
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],21.189
(34.87 - 95.677],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],52.697
(30.494 - 34.87],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],54.087
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],24.708
(30.494 - 34.87],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],55.445
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],22.115
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],23.3
(30.494 - 34.87],(3 - 4],(9.0 - 14.0],(16.0 - 20.0],54.374
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],31.311
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],17.457
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(13.0 - 16.0],70.222
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(16.0 - 20.0],32.448
(30.494 - 34.87],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],45.997
(30.494 - 34.87],(3 - 4],(1.0 - 2.0],(16.0 - 20.0],82.324
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],11.743
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],13.281
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],18.795
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],12.365
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],15.651
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],35.836
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],37.57
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],9.752
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.944
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],6.739
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],18.634
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],21.14
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],19.039
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],33.621
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],17.244
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],15.368
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],3.839
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],13.586
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],28.461
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],15.075
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],26.399
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],11.981
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],16.952
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.13
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],35.252
(30.494 - 34.87],[1 - 2],(1.0 - 2.0],(16.0 - 20.0],29.814
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],21.622
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],21.97
