D,Spk,OS,SNR,JER
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],85.606
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],30.766
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],41.054
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],67.929
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],39.062
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],13.869
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],41.681
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],14.438
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(29.0 - 35.0],6.844
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],23.106
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],14.728
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.057
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],81.008
(5.318 - 18.792],(5 - 7],(1.0 - 2.0],(20.0 - 24.8],58.11
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],50.346
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],8.116
(2.033 - 5.318],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],32.147
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(20.0 - 24.8],57.82
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],(24.8 - 29.0],5.542
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],14.498
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(13.0 - 16.0],77.075
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],23.916
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],29.868
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],21.677
(2.033 - 5.318],(4 - 5],(2.0 - 3.0],(29.0 - 35.0],25.471
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],8.484
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.036
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],42.373
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],11.183
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],12.117
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],46.368
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],35.031
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],68.464
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],7.266
(18.792 - 30.494],(5 - 7],(2.0 - 3.0],(16.0 - 20.0],5.513
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],27.696
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],51.498
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(35.0 - 59.0],44.607
(5.318 - 18.792],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],16.774
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],7.664
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(24.8 - 29.0],61.155
(5.318 - 18.792],(7 - 10],(5.0 - 9.0],(24.8 - 29.0],63.245
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],30.74
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],36.925
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(20.0 - 24.8],76.772
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],66.299
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(29.0 - 35.0],63.502
(2.033 - 5.318],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],58.444
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],8.032
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],8.206
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(16.0 - 20.0],47.308
(2.033 - 5.318],(2 - 3],(1.0 - 2.0],(20.0 - 24.8],23.453
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],24.871
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],15.536
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],34.189
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],3.578
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(7.0 - 10.0],19.138
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],10.959
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.15
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],55.229
(18.792 - 30.494],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],5.902
(5.318 - 18.792],(10 - 41],(1.0 - 2.0],(16.0 - 20.0],27.027
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],37.984
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],4.903
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.714
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],59.886
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],20.488
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(7.0 - 10.0],61.919
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(29.0 - 35.0],21.161
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],34.335
(18.792 - 30.494],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],10.799
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],10.224
(5.318 - 18.792],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],72.337
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],6.237
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],20.184
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(29.0 - 35.0],14.169
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(13.0 - 16.0],39.783
(18.792 - 30.494],[1 - 2],(1.0 - 2.0],(35.0 - 59.0],6.744
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],1.106
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],75.302
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],25.519
(2.033 - 5.318],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],22.937
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],59.844
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],56.235
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],6.1
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],4.275
(2.033 - 5.318],(4 - 5],[0.0 - 1.0],(24.8 - 29.0],5.627
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.575
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],49.795
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],9.098
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],44.357
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],55.439
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(20.0 - 24.8],58.618
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],16.801
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],6.648
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],23.601
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],63.625
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(7.0 - 10.0],16.542
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(16.0 - 20.0],44.482
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],43.645
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],16.562
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],6.941
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],26.534
(18.792 - 30.494],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],41.514
