D,Spk,OS,SNR,JER
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],6.177
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],25.354
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],56.554
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],23.391
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(7.0 - 10.0],71.436
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(29.0 - 35.0],13.575
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],34.249
(18.792 - 30.494],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],16.554
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],14.169
(5.318 - 18.792],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],76.784
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],23.003
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],47.183
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(29.0 - 35.0],14.681
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(13.0 - 16.0],49.258
(18.792 - 30.494],[1 - 2],(1.0 - 2.0],(35.0 - 59.0],15.496
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],1.406
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],76.904
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],15.494
(2.033 - 5.318],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],32.401
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],45.782
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],59.292
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],14.82
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.028
(2.033 - 5.318],(4 - 5],[0.0 - 1.0],(24.8 - 29.0],12.34
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.409
