D,Spk,OS,SNR,DER
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],5.628
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],26.07
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],26.649
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],12.878
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(7.0 - 10.0],61.42
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(29.0 - 35.0],9.114
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],12.372
(18.792 - 30.494],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],9.885
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],34.008
(5.318 - 18.792],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],43.323
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],7.226
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],15.398
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(29.0 - 35.0],9.868
(5.318 - 18.792],(4 - 5],(3.0 - 5.0],(13.0 - 16.0],33.406
(18.792 - 30.494],[1 - 2],(1.0 - 2.0],(35.0 - 59.0],8.392
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],3.171
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],9.396
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],26.864
(2.033 - 5.318],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],36.987
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],25.239
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],21.753
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],13.379
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],5.532
(2.033 - 5.318],(4 - 5],[0.0 - 1.0],(24.8 - 29.0],27.681
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.767
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],19.786
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],9.079
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],13.758
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],25.383
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(20.0 - 24.8],26.133
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],15.74
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],7.754
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],15.424
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],12.96
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(7.0 - 10.0],51.889
