D,Spk,OS,SNR,DER
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],114.654
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],80.577
(11.811 - 20.001],(5 - 7],(5.0 - 8.0],(21.0 - 25.0],77.96
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(17.0 - 21.0],98.291
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(17.0 - 21.0],57.129
(1.466 - 3.204],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],76.873
(3.204 - 11.811],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],76.935
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],81.459
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],190.662
(3.204 - 11.811],(7 - 10],(1.0 - 2.0],(21.0 - 25.0],66.916
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],81.875
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(4.0 - 8.0],85.5
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],58.332
(11.811 - 20.001],(5 - 7],(8.0 - 13.0],(17.0 - 21.0],79.559
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(17.0 - 21.0],115.116
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],80.219
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],83.947
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],79.908
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],50.856
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],84.747
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],70.711
(3.204 - 11.811],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],89.164
(3.204 - 11.811],(4 - 5],(1.0 - 2.0],(29.0 - 36.0],69.453
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],82.534
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],82.604
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],83.66
(1.466 - 3.204],(7 - 10],(8.0 - 13.0],(4.0 - 8.0],89.022
(11.811 - 20.001],(5 - 7],(1.0 - 2.0],(17.0 - 21.0],79.052
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],100.584
(0.884 - 1.466],[1 - 2],(13.0 - 63.0],(25.0 - 29.0],76.187
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(13.0 - 17.0],72.166
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],79.143
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],80.868
(1.466 - 3.204],(4 - 5],(2.0 - 3.0],(29.0 - 36.0],77.772
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(21.0 - 25.0],67.881
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],82.93
(11.811 - 20.001],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],78.92
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],87.601
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],172.085
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],65.711
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],80.9
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],93.869
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],92.749
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(17.0 - 21.0],60.639
(11.811 - 20.001],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],90.831
(3.204 - 11.811],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],112.073
(11.811 - 20.001],(5 - 7],(2.0 - 3.0],(29.0 - 36.0],79.507
(3.204 - 11.811],(3 - 4],(2.0 - 3.0],(17.0 - 21.0],82.558
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],81.658
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(21.0 - 25.0],74.18
(11.811 - 20.001],(7 - 10],(5.0 - 8.0],(25.0 - 29.0],73.974
(3.204 - 11.811],(10 - 41],(2.0 - 3.0],(25.0 - 29.0],78.255
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],67.391
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(21.0 - 25.0],80.784
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(25.0 - 29.0],79.385
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(29.0 - 36.0],77.262
(1.466 - 3.204],(7 - 10],(5.0 - 8.0],(29.0 - 36.0],61.076
(3.204 - 11.811],(5 - 7],(2.0 - 3.0],(25.0 - 29.0],77.068
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(21.0 - 25.0],91.16
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(17.0 - 21.0],87.443
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],84.612
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],82.247
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],68.859
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(25.0 - 29.0],65.466
(3.204 - 11.811],[1 - 2],(2.0 - 3.0],(8.0 - 10.0],85.094
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],82.579
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],69.621
(3.204 - 11.811],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],71.039
(11.811 - 20.001],(5 - 7],(5.0 - 8.0],(25.0 - 29.0],67.111
(3.204 - 11.811],(10 - 41],(1.0 - 2.0],(17.0 - 21.0],68.459
